1000,0.000000,0.001000,0.000000,0.001000,0.000000 
4000,0.001000,0.001000,0.001000,0.001000,0.001000 
6000,0.002000,0.002000,0.001000,0.001000,0.002000 
8000,0.001000,0.003000,0.002000,0.003000,0.002000 
9000,0.004000,0.003000,0.003000,0.004000,0.004000 
10000,0.004000,0.006000,0.004000,0.003000,0.002000 
20000,0.006000,0.004000,0.004000,0.008000,0.006000 
30000,0.009000,0.011000,0.011000,0.014000,0.011000 
100000,0.036000,0.037000,0.039000,0.036000,0.033000 
200000,0.066000,0.065000,0.062000,0.064000,0.068000 
