1000,0.001000,0.001000,0.000000,0.001000,0.001000 
4000,0.004000,0.004000,0.007000,0.004000,0.003000 
6000,0.011000,0.006000,0.011000,0.005000,0.012000 
8000,0.009000,0.007000,0.016000,0.013000,0.013000 
9000,0.014000,0.009000,0.011000,0.009000,0.013000 
10000,0.014000,0.013000,0.008000,0.015000,0.015000 
20000,0.024000,0.084000,0.026000,0.024000,0.030000 
30000,0.041000,0.040000,0.040000,0.036000,0.036000 
100000,0.185000,0.528000,0.232000,0.183000,0.125000 
200000,0.582000,0.268000,0.183000,0.383000,0.192000 
