1000,0.000000,0.001000,0.000000,0.000000,0.001000 
4000,0.001000,0.001000,0.001000,0.001000,0.001000 
6000,0.001000,0.001000,0.002000,0.002000,0.002000 
8000,0.002000,0.002000,0.002000,0.002000,0.003000 
9000,0.002000,0.002000,0.003000,0.002000,0.002000 
10000,0.004000,0.003000,0.002000,0.005000,0.003000 
20000,0.007000,0.007000,0.006000,0.006000,0.007000 
30000,0.020000,0.016000,0.014000,0.012000,0.012000 
100000,0.038000,0.083000,0.058000,0.039000,0.030000 
200000,0.070000,0.092000,0.081000,0.118000,0.083000
