1000,0.003000,0.003000,0.002000,0.003000,0.004000 
4000,0.011000,0.144000,0.030000,0.044000,0.031000 
6000,0.165000,0.029000,0.103000,0.024000,0.022000 
8000,0.142000,0.059000,0.025000,0.021000,0.021000 
9000,0.176000,0.151000,0.039000,0.216000,0.039000 
10000,0.055000,0.068000,0.028000,0.032000,0.168000 
20000,0.045000,0.266000,0.185000,0.054000,0.170000 
30000,0.198000,0.186000,0.103000,0.079000,0.456000 
100000,0.876000,0.499000,0.926000,0.656000,0.718000 
200000,1.693000,1.895000,2.086000,1.799000,2.109000 
