1000,0.000000,0.000000,0.000000,0.000000,0.000000 
4000,0.008000,0.008000,0.000000,0.000000,0.016000 
6000,0.008000,0.000000,0.024000,0.000000,0.008000 
8000,0.008000,0.008000,0.008000,0.008000,0.000000 
9000,0.008000,0.000000,0.008000,0.008000,0.016000 
10000,0.040000,0.008000,0.008000,0.008000,0.008000 
20000,0.016000,0.008000,0.016000,0.016000,0.016000 
30000,0.024000,0.032000,0.024000,0.024000,0.016000 
100000,0.120000,0.168000,0.104000,0.096000,0.064000 
200000,0.240000,0.200000,0.288000,0.336000,0.336000 
