1000,0.000000,0.000000,0.001000,0.000000,0.000000 
4000,0.000000,0.000000,0.000000,0.000000,0.000000 
6000,0.000000,0.000000,0.001000,0.000000,0.000000 
8000,0.001000,0.000000,0.000000,0.000000,0.001000 
9000,0.000000,0.000000,0.000000,0.000000,0.000000 
10000,0.000000,0.000000,0.000000,0.000000,0.000000 
20000,0.000000,0.000000,0.000000,0.001000,0.000000 
30000,0.001000,0.000000,0.001000,0.001000,0.001000 
100000,0.001000,0.001000,0.001000,0.001000,0.002000 
200000,0.011000,0.002000,0.014000,0.038000,0.014000 
